track_name,artist_name,artist_count,released_year,streams,bpm,key,mode,danceability_pct,valence_pct,energy_pct,acousticness_pct,instrumentalness_pct,liveness_pct,speechiness_pct
Say Yes To Heaven,Lana Del Rey,1,2023,127567540,100,F#,Minor,49,17,35,71,9,11,3
Snooze,SZA,1,2022,399686758,143,F,Major,56,39,55,14,0,11,13
Summertime Sadness,Lana Del Rey,1,2011,983637508,112,C#,Minor,56,24,66,7,0,12,3
Take Two,BTS,1,2023,118482347,93,G,Major,62,57,59,3,0,38,3
Lover,Taylor Swift,1,2012,882831184,206,G,Major,43,50,55,50,0,15,10
Too Many Nights,"Future, Metro Boomin, Don Toliver",3,2022,286400165,88,G,Minor,68,17,71,15,0,11,5
Chemical,Post Malone,1,2023,172825906,170,D,Major,50,37,90,0,0,12,5
Mockingbird,Eminem,1,2004,1241559043,84,E,Minor,62,24,67,21,0,13,28
New Jeans,NewJeans,1,2023,29562220,134,E,Minor,81,53,72,51,0,12,5
Primera Cita,Carin Leon,1,2022,77309611,158,A#,Major,54,50,40,61,0,10,6
Cold Heart,"Dua Lipa, Elton John, Pnau",3,2017,1605224506,116,C#,Major,80,92,80,4,0,10,3
Dandelions,Ruth B.,1,2017,1116995633,117,C#,Major,61,45,69,2,0,9,3
Bones,Imagine Dragons,1,2021,838079900,114,F,Minor,77,65,72,2,0,7,5
Set Fire to the Rain,Adele,1,2011,1163620694,108,D,Minor,61,47,68,0,0,13,3
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1093605526,144,E,Minor,74,37,53,7,0,21,10
Mine,Taylor Swift,1,2023,36912123,121,G,Major,65,49,78,0,0,17,4
Everybody Wants To Rule The World,Tears For Fears,1,1985,1205951614,112,G,Major,64,54,81,36,0,11,6
No Role Modelz,J. Cole,1,2014,1791000570,100,A#,Minor,70,47,52,30,0,6,33
Tattoo,Loreen,1,2023,201660859,150,D#,Minor,55,30,78,24,0,12,8
august,Taylor Swift,1,2020,607123776,90,F,Major,51,42,61,53,0,9,3
Miracle,"Calvin Harris, Ellie Goulding",2,2023,211050784,143,A,Major,64,31,87,4,4,8,4
Nonsense,Sabrina Carpenter,1,2022,342897938,139,G#,Major,74,68,68,3,0,26,4
Can't Hold Us,"Ray Dalton, Ryan Lewis, Macklemore",3,2011,1953533826,146,D,Major,63,88,93,3,0,10,8
Watermelon Sugar,Harry Styles,1,2019,2322580122,95,,Major,55,56,82,12,0,34,5
lovely,"Billie Eilish, Khalid",2,2017,2355719893,115,E,Minor,35,12,30,93,0,10,3
Queencard,(G)I-DLE,1,2023,96273746,130,E,Minor,82,69,83,3,0,27,5
OMG,NewJeans,1,2023,430977451,127,A,Minor,80,74,77,36,0,11,4
Radio,Lana Del Rey,1,2011,284819874,150,D,Major,42,20,86,21,0,9,9
505,Arctic Monkeys,1,2007,1217120710,140,,Major,52,20,85,0,0,7,5
Calling,"Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,109276132,140,,Major,63,22,54,46,0,12,8
Trance,"Travis Scott, Young Thug, Metro Boomin",3,2022,276259178,119,C#,Minor,75,48,53,18,0,18,34
Perfect,Ed Sheeran,1,2017,2559529074,95,G#,Major,60,17,45,16,0,11,2
Romantic Homicide,d4vd,1,2022,681583126,132,F#,Major,56,20,55,45,1,32,3
Believer,Imagine Dragons,1,2017,2594040133,125,A#,Minor,77,74,78,4,0,23,11
Without Me,Eminem,1,2002,1687664027,112,G,Major,92,67,66,0,0,36,9
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,611700552,90,F,Minor,59,52,48,38,5,10,11
Somewhere Only We Know,Keane,1,2004,1089402494,172,A,Major,45,33,59,6,0,8,3
Those Eyes,New West,1,2019,411747614,120,E,Major,60,24,35,73,0,31,3
Locked Out Of Heaven,Bruno Mars,1,2012,1481349984,144,F,Major,73,87,70,6,0,28,5
Jimmy Cooks,"Drake, 21 Savage",2,2022,618885532,163,,Major,54,40,67,0,0,9,17
Counting Stars,OneRepublic,1,2013,2011464183,122,C#,Minor,66,48,71,6,0,12,4
Ghost,Justin Bieber,1,2021,1167330737,154,D,Major,61,41,74,21,0,40,6
Under The Influence,Chris Brown,1,2019,929964809,117,A,Minor,73,31,69,6,0,11,4
Gasolina,Daddy Yankee,1,2004,657723613,96,,Major,86,74,80,33,0,8,6
One Dance,"Drake, WizKid, Kyla",3,2016,2713922350,104,C#,Major,77,36,63,1,0,36,5
Enchanted,Taylor Swift,1,2010,621660989,164,G#,Major,45,24,62,8,0,16,3
Save Your Tears,The Weeknd,1,2020,1591223784,118,,Major,68,61,82,2,0,50,3
Sure Thing,Miguel,1,2010,950906471,81,B,Minor,68,51,60,3,0,19,10
Every Breath You Take,The Police,1,1983,1593270737,117,C#,Major,82,73,45,54,0,7,3
The Night We Met,Lord Huron,1,2015,1410088830,174,D,Major,45,10,37,97,25,64,4
We Found Love,"Rihanna, Calvin Harris",2,2011,1235005533,128,C#,Major,73,60,77,3,0,11,4
When I Was Your Man,Bruno Mars,1,2012,1661187319,145,,Major,60,43,27,94,0,14,4
Let Me Down Slowly,Alec Benjamin,1,2018,1374581173,150,C#,Minor,65,51,55,73,0,14,3
Am I Dreaming,"A$AP Rocky, Metro Boomin, Roisee",3,2023,94186466,90,A,Minor,60,13,53,4,0,21,4
Do I Wanna Know?,Arctic Monkeys,1,2013,1788326445,85,F,Major,55,42,53,17,0,22,3
Demons,Imagine Dragons,1,2012,1840364617,180,D#,Major,33,38,71,20,0,28,5
Reminder,The Weeknd,1,2016,684675814,160,G#,Major,71,40,50,16,0,16,22
Shake It Off,Taylor Swift,1,2014,1113838873,160,G,Major,65,95,80,5,0,41,16
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1267333350,92,D,Major,70,81,63,4,0,8,4
SNAP,Rosa Linn,1,2022,726307468,170,,Major,56,53,64,11,0,45,6
Shape of You,Ed Sheeran,1,2017,3562543890,96,C#,Minor,83,93,65,58,0,9,8
Night Changes,One Direction,1,2014,1131090940,120,G#,Major,67,40,52,86,0,12,4
Creep,Radiohead,1,1992,1271293243,92,G,Major,53,12,34,1,0,12,4
Car's Outside,James Arthur,1,2019,265882712,150,A,Major,34,24,56,4,0,11,3
Apocalypse,Cigarettes After Sex,1,2017,841749534,94,F,Major,37,17,47,2,46,11,3
Cheques,Shubh,1,2023,47956378,90,E,Minor,74,36,63,26,0,27,5
Pink + White,Frank Ocean,1,2016,806397070,160,A,Major,54,54,55,67,0,42,11
Circles,Post Malone,1,2019,2132335812,120,,Major,70,59,75,24,0,9,4
Just The Way You Are,Bruno Mars,1,2010,1641426668,109,F,Major,63,46,85,1,0,9,5
Take Me To Church,Hozier,1,2013,2135158446,129,E,Minor,57,41,66,63,0,12,5
You Belong With Me,Taylor Swift,1,2021,350381515,130,F#,Major,63,49,73,5,0,9,3
Better Than Revenge,Taylor Swift,1,2023,30343206,146,B,Minor,50,67,89,0,0,19,8
Shut up My Moms Calling,Hotel Ugly,1,2020,405136812,139,A,Minor,48,37,41,32,0,10,10
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,1145727611,116,,Major,74,76,70,7,0,13,3
Ditto,NewJeans,1,2022,397582059,134,F#,Minor,81,18,64,3,0,10,11
Take On Me,a-ha,1,1984,1479115056,84,F#,Minor,57,86,90,2,0,9,5
Annihilate,"Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,86773632,146,B,Minor,61,20,48,21,0,12,6
Angel Pt 1,"Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,133753727,74,A#,Minor,53,24,67,11,0,10,28
S-Class,Stray Kids,1,2023,65496046,105,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,1,2023,68616963,106,F,Major,67,24,78,15,0,30,4
Self Love,"Metro Boomin, Coi Leray",2,2023,70106975,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Kaliii, Kaliii",2,2023,113509496,155,C#,Major,82,51,39,2,0,9,49
FLOWER,JISOO,1,2023,232896922,124,A,Minor,84,64,39,3,0,11,4
All The Way Live,"Future, Lil Uzi Vert, Metro Boomin",3,2023,37126685,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,Ed Sheeran,1,2023,195576623,107,D,Major,78,39,53,30,0,11,6
Escapism.,"RAYE, 070 Shake",2,2022,532336353,96,D,Major,54,25,74,14,0,9,11
Karma,"Taylor Swift, Ice Spice",2,2023,46142772,90,G#,Major,62,7,62,6,0,58,6
Superhero,"Future, Chris Brown, Metro Boomin",3,2022,401036314,117,F,Minor,72,45,59,14,0,20,21
Snow On The Beach,"Lana Del Rey, Taylor Swift",2,2023,60350538,110,F#,Minor,66,32,40,81,0,11,3
Players,Coi Leray,1,2022,335074782,105,F#,Major,95,62,52,3,0,5,16
Bite Me,ENHYPEN,1,2023,76767396,105,C#,Major,80,69,78,28,0,11,14
Stand By Me,"Lil Durk, Morgan Wallen",2,2023,46065667,134,B,Major,76,61,58,6,0,16,3
Hummingbird,"James Blake, Metro Boomin",2,2023,39666245,81,F#,Major,59,26,60,46,1,25,13
